_id,rt,trial_type,trial_index,time_elapsed,internal_node_id,subject,study_id,session_id,__v,response,theword,block
67ce5af9aac2aea29b286776,41798,instructions,0,41800,0,5c8c22bafeeaeb0016207a00,67ce4cdac9e27ae798d3f54f,67ce5a4a3ac49c813b40070f,0,,,
67ce5af9aac2aea29b286778,2974,instructions,1,44775,0,5c8c22bafeeaeb0016207a00,67ce4cdac9e27ae798d3f54f,67ce5a4a3ac49c813b40070f,0,,,
67ce5af9aac2aea29b28677a,22975,html-button-response,2,67753,0,5c8c22bafeeaeb0016207a00,67ce4cdac9e27ae798d3f54f,67ce5a4a3ac49c813b40070f,0,0,,
67ce5af9aac2aea29b28677c,1704,html-button-response,3,69458,0,5c8c22bafeeaeb0016207a00,67ce4cdac9e27ae798d3f54f,67ce5a4a3ac49c813b40070f,0,0,,
67ce5af9aac2aea29b28677e,5598,survey-multi-choice,4,75058,0,5c8c22bafeeaeb0016207a00,67ce4cdac9e27ae798d3f54f,67ce5a4a3ac49c813b40070f,0,"{""Q0"":""shape""}",square,practice_category
67ce5af9aac2aea29b286780,853,html-button-response,5,75912,0,5c8c22bafeeaeb0016207a00,67ce4cdac9e27ae798d3f54f,67ce5a4a3ac49c813b40070f,0,0,,
67ce5af9aac2aea29b286782,3719,survey-multi-choice,6,79633,0,5c8c22bafeeaeb0016207a00,67ce4cdac9e27ae798d3f54f,67ce5a4a3ac49c813b40070f,0,"{""Q0"":""color""}",red,practice_category
67ce5af9aac2aea29b286784,775,html-button-response,7,80410,0,5c8c22bafeeaeb0016207a00,67ce4cdac9e27ae798d3f54f,67ce5a4a3ac49c813b40070f,0,0,,
67ce5af9aac2aea29b286786,938,html-button-response,9,84406,0,5c8c22bafeeaeb0016207a00,67ce4cdac9e27ae798d3f54f,67ce5a4a3ac49c813b40070f,0,0,,
67ce5af9aac2aea29b286788,3055,survey-multi-choice,8,83466,0,5c8c22bafeeaeb0016207a00,67ce4cdac9e27ae798d3f54f,67ce5a4a3ac49c813b40070f,0,"{""Q0"":""material""}",wooden,practice_category
67ce5af9aac2aea29b28678a,1365,html-button-response,10,85773,0,5c8c22bafeeaeb0016207a00,67ce4cdac9e27ae798d3f54f,67ce5a4a3ac49c813b40070f,0,0,,
67ce5af9aac2aea29b28678c,4871,survey-multi-choice,11,90645,0,5c8c22bafeeaeb0016207a00,67ce4cdac9e27ae798d3f54f,67ce5a4a3ac49c813b40070f,0,"{""Q0"":""shape""}",water (beverage),category_organization
67ce5af9aac2aea29b28678e,9571,survey-multi-choice,12,100218,0,5c8c22bafeeaeb0016207a00,67ce4cdac9e27ae798d3f54f,67ce5a4a3ac49c813b40070f,0,"{""Q0"":""color""}",dress (object),category_organization
67ce5af9aac2aea29b286790,3137,survey-multi-choice,13,103356,0,5c8c22bafeeaeb0016207a00,67ce4cdac9e27ae798d3f54f,67ce5a4a3ac49c813b40070f,0,"{""Q0"":""material""}",sandwich,category_organization
67ce5af9aac2aea29b286792,2492,survey-multi-choice,14,105850,0,5c8c22bafeeaeb0016207a00,67ce4cdac9e27ae798d3f54f,67ce5a4a3ac49c813b40070f,0,"{""Q0"":""material""}",hamburger,category_organization
67ce5af9aac2aea29b286794,2128,survey-multi-choice,15,107980,0,5c8c22bafeeaeb0016207a00,67ce4cdac9e27ae798d3f54f,67ce5a4a3ac49c813b40070f,0,"{""Q0"":""color""}",flag,category_organization
67ce5af9aac2aea29b286796,4395,survey-multi-choice,16,112377,0,5c8c22bafeeaeb0016207a00,67ce4cdac9e27ae798d3f54f,67ce5a4a3ac49c813b40070f,0,"{""Q0"":""material""}",wall,category_organization
67ce5af9aac2aea29b286798,7618,survey-multi-choice,17,119996,0,5c8c22bafeeaeb0016207a00,67ce4cdac9e27ae798d3f54f,67ce5a4a3ac49c813b40070f,0,"{""Q0"":""shape""}",telephone,category_organization
67ce5af9aac2aea29b28679a,4828,survey-multi-choice,18,124827,0,5c8c22bafeeaeb0016207a00,67ce4cdac9e27ae798d3f54f,67ce5a4a3ac49c813b40070f,0,"{""Q0"":""shape""}",orange juice,category_organization
67ce5af9aac2aea29b28679c,2846,survey-multi-choice,19,127675,0,5c8c22bafeeaeb0016207a00,67ce4cdac9e27ae798d3f54f,67ce5a4a3ac49c813b40070f,0,"{""Q0"":""shape""}",key,category_organization
67ce5af9aac2aea29b28679e,3076,survey-multi-choice,20,130752,0,5c8c22bafeeaeb0016207a00,67ce4cdac9e27ae798d3f54f,67ce5a4a3ac49c813b40070f,0,"{""Q0"":""material""}",vacuum,category_organization
67ce5af9aac2aea29b2867a0,2325,survey-multi-choice,21,133078,0,5c8c22bafeeaeb0016207a00,67ce4cdac9e27ae798d3f54f,67ce5a4a3ac49c813b40070f,0,"{""Q0"":""shape""}",spaghetti,category_organization
67ce5af9aac2aea29b2867a2,2766,survey-multi-choice,23,139689,0,5c8c22bafeeaeb0016207a00,67ce4cdac9e27ae798d3f54f,67ce5a4a3ac49c813b40070f,0,"{""Q0"":""shape""}",mirror,category_organization
67ce5af9aac2aea29b2867a4,3841,survey-multi-choice,22,136921,0,5c8c22bafeeaeb0016207a00,67ce4cdac9e27ae798d3f54f,67ce5a4a3ac49c813b40070f,0,"{""Q0"":""shape""}",fish (animal),category_organization
67ce5af9aac2aea29b2867a6,2660,survey-multi-choice,24,142350,0,5c8c22bafeeaeb0016207a00,67ce4cdac9e27ae798d3f54f,67ce5a4a3ac49c813b40070f,0,"{""Q0"":""shape""}",gun,category_organization
67ce5af9aac2aea29b2867a8,1913,survey-multi-choice,25,144265,0,5c8c22bafeeaeb0016207a00,67ce4cdac9e27ae798d3f54f,67ce5a4a3ac49c813b40070f,0,"{""Q0"":""color""}",car,category_organization
67ce5af9aac2aea29b2867aa,3404,survey-multi-choice,26,147671,0,5c8c22bafeeaeb0016207a00,67ce4cdac9e27ae798d3f54f,67ce5a4a3ac49c813b40070f,0,"{""Q0"":""shape""}",mosquito,category_organization
67ce5af9aac2aea29b2867ac,4336,survey-multi-choice,27,152008,0,5c8c22bafeeaeb0016207a00,67ce4cdac9e27ae798d3f54f,67ce5a4a3ac49c813b40070f,0,"{""Q0"":""material""}",stroller,category_organization
67ce5af9aac2aea29b2867ae,3748,survey-multi-choice,28,155757,0,5c8c22bafeeaeb0016207a00,67ce4cdac9e27ae798d3f54f,67ce5a4a3ac49c813b40070f,0,"{""Q0"":""shape""}",chicken (food),category_organization
67ce5af9aac2aea29b2867b0,5563,survey-multi-choice,30,163735,0,5c8c22bafeeaeb0016207a00,67ce4cdac9e27ae798d3f54f,67ce5a4a3ac49c813b40070f,0,"{""Q0"":""material""}",hammer,category_organization
67ce5af9aac2aea29b2867b2,2411,survey-multi-choice,29,158170,0,5c8c22bafeeaeb0016207a00,67ce4cdac9e27ae798d3f54f,67ce5a4a3ac49c813b40070f,0,"{""Q0"":""material""}",croquette,category_organization
67ce5afaaac2aea29b2867b4,1821,survey-multi-choice,31,165557,0,5c8c22bafeeaeb0016207a00,67ce4cdac9e27ae798d3f54f,67ce5a4a3ac49c813b40070f,0,"{""Q0"":""color""}",lavender,attention_category
67ce5afaaac2aea29b2867b6,2796,html-button-response,32,168355,0,5c8c22bafeeaeb0016207a00,67ce4cdac9e27ae798d3f54f,67ce5a4a3ac49c813b40070f,0,0,,
67ce5bdcaac2aea29b2867b8,3235,instructions,0,3236,0,67c31f640f4ed19c7e582f44,67ce4cdac9e27ae798d3f54f,67ce5afed4e5a77ec6f93f30,0,,,
67ce5bdcaac2aea29b2867ba,3607,instructions,1,6843,0,67c31f640f4ed19c7e582f44,67ce4cdac9e27ae798d3f54f,67ce5afed4e5a77ec6f93f30,0,,,
67ce5bdcaac2aea29b2867bc,26391,html-button-response,2,33235,0,67c31f640f4ed19c7e582f44,67ce4cdac9e27ae798d3f54f,67ce5afed4e5a77ec6f93f30,0,0,,
67ce5bdcaac2aea29b2867be,2695,html-button-response,3,35931,0,67c31f640f4ed19c7e582f44,67ce4cdac9e27ae798d3f54f,67ce5afed4e5a77ec6f93f30,0,0,,
67ce5bdcaac2aea29b2867c0,6007,survey-multi-choice,4,41939,0,67c31f640f4ed19c7e582f44,67ce4cdac9e27ae798d3f54f,67ce5afed4e5a77ec6f93f30,0,"{""Q0"":""shape""}",square,practice_category
67ce5bdcaac2aea29b2867c2,1199,html-button-response,5,43139,0,67c31f640f4ed19c7e582f44,67ce4cdac9e27ae798d3f54f,67ce5afed4e5a77ec6f93f30,0,0,,
67ce5bdcaac2aea29b2867c4,6472,survey-multi-choice,6,49612,0,67c31f640f4ed19c7e582f44,67ce4cdac9e27ae798d3f54f,67ce5afed4e5a77ec6f93f30,0,"{""Q0"":""color""}",red,practice_category
67ce5bdcaac2aea29b2867c6,999,html-button-response,7,50611,0,67c31f640f4ed19c7e582f44,67ce4cdac9e27ae798d3f54f,67ce5afed4e5a77ec6f93f30,0,0,,
